idindividu;identite;prenom;nom;surnom;provVilleT;titreT;titreTN;professionT;professionTN;chargeEcclT;chargeEcclTN;provDiocT;santeT;statutT;statutTN;titre2T;titre2TN;profession2T;profession2TN;genre
1039;petrus de pratis;petrus;de pratis;cardinalis de pratis;NULL;seigneur;seigneur;NULL;NULL;cardinal des pres;cardinal;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;homme
832;petrus itier;petrus;itier;cardinalis aquensis;NULL;seigneur;seigneur;NULL;NULL;cardinal de dax;cardinal;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;homme
2681;johannes espiafam;johannes;espiafam;NULL;lucques;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;homme
2601;biatris berauda;biatris;berauda;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;homme
2604;jaumeta de vezalays;jaumeta;de vezalays;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;homme
2613;girart forgeron;girart;forgeron;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;homme
2654;guillaume vaquier;guillaume;vaquier;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;homme
68;petrus textoris;petrus;textoris;NULL;avignon;NULL;NULL;parcheminier;parcheminier;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;homme
2655;daudel de grabiac;daudel;de grabiac;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;homme
2656;bodouvini de dorderac;bodouvini;de dorderac;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;homme
2659;joan recordier;joan;recordier;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;homme
1150;johanne auricula;johanne;auricula;NULL;NULL;seigneur;seigneur;NULL;NULL;chanoine;chanoine;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;femme
2661;mthomas canut;mthomas;canut;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;homme
1122;catherine jacobi;catherine;jacobi;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;femme
2664;rostagnus remusati;rostagnus;remusati;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;homme
1231;guillelmus ricardi;guillelmus;ricardi;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;homme
1563;catherine paschalis;catherine;paschalis;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;femme
2183;johanna martini;johanna;martini;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;femme
2020;alasatia cutellerii;alasatia;cutellerii;NULL;NULL;seigneure;dame;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;femme
1651;heredes jacobi raucelini alias de marseille;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;heritier
1653;heredes johannis rostagni;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;heritier
1752;mabilla raynoard;mabilla;raynoard;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;femme
1583;dulcelina recordi;dulcelina;recordi;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;femme
1763;mathea redosse;mathea;redosse;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;femme
2231;odeta refrenarii;odeta;refrenarii;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;femme
2389;peyrona riberii;peyrona;riberii;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;femme
2321;donzeleta rieu;donzeleta;rieu;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;femme
1662;honorata rivi;honorata;rivi;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;femme
1495;agnesie rollande;agnesie;rollande;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;femme
1491;agnes pascalis;agnes;pascalis;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;femme
824;jean xxii;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;pape;pape;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;autorite
795;johannes broche;johannes;broche;NULL;NULL;NULL;NULL;peintre;peintre;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;homme
2665;johannes focart;johannes;focart;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;homme
2677;aliot chassarel;aliot;chassarel;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;homme
2678;johannes turlande;johannes;turlande;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;homme
2682;berthomieu espiafam;berthomieu;espiafam;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;homme
2689;peyre labet;peyre;labet;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;homme
2692;anthonius ozili;anthonius;ozili;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;homme
2695;stheve scortil;stheve;scortil;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;homme
2737;perrisson pollin;perrisson;pollin;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;homme
2744;guillem polie;guillem;polie;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;homme
2746;poncet faraut;poncet;faraut;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;homme
2750;christoforo geri;christoforo;geri;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;homme
2493;johan del pont;johan;del pont;NULL;NULL;NULL;NULL;boisselier;boisselier;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;sellier;sellier;homme
