"idIndividu","identite","prenom","nom","surnom","provVille","titre","profession","chargeEccl","sante","provDioc","statut","residence","titre2","profession2","identiteNorm","genre"
1039,"petrus de pratis","petrus","de pratis","cardinalis de pratis",NULL,"dominus",NULL,"cardinalis de pratis",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"homme"
832,"petrus itier","petrus","itier","cardinalis aquensis",NULL,"dominus",NULL,"cardinalis aquensis",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"homme"
2681,"johannes espiafam","johannes","espiafam",NULL,"luca",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"homme"
2601,"biatris berauda","biatris","berauda",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"homme"
2604,"jaumeta de vezalays","jaumeta","de vezalays",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"homme"
2613,"girart fabre","girart","fabre",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"homme"
2654,"guillaume vaquier","guillaume","vaquier",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"homme"
68,"petrus textoris","petrus","textoris",NULL,"avinione",NULL,"blanquerius",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"petri textor","homme"
2655,"daudel de grabiac","daudel","de grabiac",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"homme"
2656,"bodouvini de dorderac","bodouvini","de dorderac",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"homme"
2659,"joan recordier","joan","recordier",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"homme"
1150,"johanne auricula","johanne","auricula",NULL,NULL,"dominus",NULL,"canonicus",NULL,NULL,NULL,NULL,NULL,NULL," Johanne Auricula","femme"
2661,"mthomas canut","mthomas","canut",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"homme"
1122,"catherine jacobi","catherine","jacobi",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL," Catherine Jacob","femme"
2664,"rostagnus remusati","rostagnus","remusati",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"homme"
